@relation "100 dataids, 1 year 3 months"
@attribute local_time DATE "yyyy-MM-dd'T'HH:mm:ssZ"
@attribute active_power NUMERIC
@attribute temperature NUMERIC
@attribute monthOfYear {'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12'}
@attribute dayOfMonth {'00', '01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24','25', '26', '27', '28', '29', '30', '31'}
@attribute dayOfWeek {'0', '1', '2', '3', '4', '5', '6'}
@attribute Weekend {'True', 'False'}
@attribute hourOfDay {'00', '01', '02', '03', '04', '05', '06','07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@attribute quarterOfHour {'00', '15', '30', '45'}
@attribute Holiday {'True', 'False'}
@data
2014-08-01T00:00:00-0600,141.009352025,26.14,08,01,4,False,00,00,False
2014-08-01T00:15:00-0600,141.003545171,25.82,08,01,4,False,00,15,False
2014-08-01T00:30:00-0600,131.080411215,25.5,08,01,4,False,00,30,False
2014-08-01T00:45:00-0600,123.034548287,25.18,08,01,4,False,00,45,False
2014-08-01T01:00:00-0600,122.063894081,24.86,08,01,4,False,01,00,False
2014-08-01T01:15:00-0600,122.064747664,24.78,08,01,4,False,01,15,False
2014-08-01T01:30:00-0600,120.065183801,24.71,08,01,4,False,01,30,False
2014-08-01T01:45:00-0600,110.03634891,24.64,08,01,4,False,01,45,False
2014-08-01T02:00:00-0600,111.096436137,24.57,08,01,4,False,02,00,False
2014-08-01T02:15:00-0600,112.029165109,24.42,08,01,4,False,02,15,False
2014-08-01T02:30:00-0600,95.068542056,24.28,08,01,4,False,02,30,False
2014-08-01T02:45:00-0600,106.05871028,24.14,08,01,4,False,02,45,False
2014-08-01T03:00:00-0600,103.099327103,24,08,01,4,False,03,00,False
2014-08-01T03:15:00-0600,104.03282243,24,08,01,4,False,03,15,False
2014-08-01T03:30:00-0600,86.08058567,24,08,01,4,False,03,30,False
2014-08-01T03:45:00-0600,92.038267913,24,08,01,4,False,03,45,False
2014-08-01T04:00:00-0600,103.067943925,24,08,01,4,False,04,00,False
2014-08-01T04:15:00-0600,94.021800623,23.89,08,01,4,False,04,15,False
2014-08-01T04:30:00-0600,86.059028037,23.79,08,01,4,False,04,30,False
2014-08-01T04:45:00-0600,93.087102804,23.68,08,01,4,False,04,45,False
2014-08-01T05:00:00-0600,107.030853583,23.58,08,01,4,False,05,00,False
2014-08-01T05:15:00-0600,98.018043614,23.4,08,01,4,False,05,15,False
2014-08-01T05:30:00-0600,84.073943925,23.23,08,01,4,False,05,30,False
2014-08-01T05:45:00-0600,97.071669782,23.06,08,01,4,False,05,45,False
2014-08-01T06:00:00-0600,92.042062305,22.89,08,01,4,False,06,00,False
2014-08-01T06:15:00-0600,90.069345794,22.79,08,01,4,False,06,15,False
2014-08-01T06:30:00-0600,99.022542056,22.7,08,01,4,False,06,30,False
2014-08-01T06:45:00-0600,106.071912773,22.6,08,01,4,False,06,45,False
2014-08-01T07:00:00-0600,101.004024922,22.51,08,01,4,False,07,00,False
2014-08-01T07:15:00-0600,98.039426791,22.61,08,01,4,False,07,15,False
2014-08-01T07:30:00-0600,96.004093458,22.71,08,01,4,False,07,30,False
2014-08-01T07:45:00-0600,90.043931464,22.81,08,01,4,False,07,45,False
2014-08-01T08:00:00-0600,95.015183801,22.91,08,01,4,False,08,00,False
2014-08-01T08:15:00-0600,94.024654206,23.06,08,01,4,False,08,15,False
2014-08-01T08:30:00-0600,93.071719626,23.21,08,01,4,False,08,30,False
2014-08-01T08:45:00-0600,90.083115265,23.36,08,01,4,False,08,45,False
2014-08-01T09:00:00-0600,83.054716511,23.52,08,01,4,False,09,00,False
2014-08-01T09:15:00-0600,80.056286604,23.92,08,01,4,False,09,15,False
2014-08-01T09:30:00-0600,92.031663551,24.32,08,01,4,False,09,30,False
2014-08-01T09:45:00-0600,88.07623053,24.72,08,01,4,False,09,45,False
2014-08-01T10:00:00-0600,92.045015576,25.13,08,01,4,False,10,00,False
2014-08-01T10:15:00-0600,85.040785047,25.52,08,01,4,False,10,15,False
2014-08-01T10:30:00-0600,95.0005919,25.92,08,01,4,False,10,30,False
2014-08-01T10:45:00-0600,93.088735202,26.31,08,01,4,False,10,45,False
2014-08-01T11:00:00-0600,112.000299065,26.71,08,01,4,False,11,00,False
2014-08-01T11:15:00-0600,109.041445483,27.12,08,01,4,False,11,15,False
2014-08-01T11:30:00-0600,122.092392523,27.54,08,01,4,False,11,30,False
2014-08-01T11:45:00-0600,131.090878505,27.95,08,01,4,False,11,45,False
2014-08-01T12:00:00-0600,129.031127726,28.37,08,01,4,False,12,00,False
2014-08-01T12:15:00-0600,117.033271028,28.79,08,01,4,False,12,15,False
2014-08-01T12:30:00-0600,124.010517134,29.22,08,01,4,False,12,30,False
2014-08-01T12:45:00-0600,134.048928349,29.64,08,01,4,False,12,45,False
2014-08-01T13:00:00-0600,125.019214953,30.07,08,01,4,False,13,00,False
2014-08-01T13:15:00-0600,122.035096573,30.28,08,01,4,False,13,15,False
2014-08-01T13:30:00-0600,155.056411215,30.5,08,01,4,False,13,30,False
2014-08-01T13:45:00-0600,144.022161994,30.72,08,01,4,False,13,45,False
2014-08-01T14:00:00-0600,128.037445483,30.94,08,01,4,False,14,00,False
2014-08-01T14:15:00-0600,138.024934579,31.1,08,01,4,False,14,15,False
2014-08-01T14:30:00-0600,144.097457944,31.27,08,01,4,False,14,30,False
2014-08-01T14:45:00-0600,156.030049844,31.43,08,01,4,False,14,45,False
2014-08-01T15:00:00-0600,157.072884735,31.6,08,01,4,False,15,00,False
2014-08-01T15:15:00-0600,167.079370717,31.61,08,01,4,False,15,15,False
2014-08-01T15:30:00-0600,164.01671028,31.63,08,01,4,False,15,30,False
2014-08-01T15:45:00-0600,184.079588785,31.64,08,01,4,False,15,45,False
2014-08-01T16:00:00-0600,206.080492212,31.66,08,01,4,False,16,00,False
2014-08-01T16:15:00-0600,190.012523364,31.58,08,01,4,False,16,15,False
2014-08-01T16:30:00-0600,212.022866044,31.51,08,01,4,False,16,30,False
2014-08-01T16:45:00-0600,201.077028037,31.44,08,01,4,False,16,45,False
2014-08-01T17:00:00-0600,205.003607477,31.37,08,01,4,False,17,00,False
2014-08-01T17:15:00-0600,212.075482866,31.23,08,01,4,False,17,15,False
2014-08-01T17:30:00-0600,205.024056075,31.09,08,01,4,False,17,30,False
2014-08-01T17:45:00-0600,217.041707165,30.95,08,01,4,False,17,45,False
2014-08-01T18:00:00-0600,220.004610592,30.81,08,01,4,False,18,00,False
2014-08-01T18:15:00-0600,211.079196262,30.45,08,01,4,False,18,15,False
2014-08-01T18:30:00-0600,218.011900312,30.09,08,01,4,False,18,30,False
2014-08-01T18:45:00-0600,223.076099688,29.73,08,01,4,False,18,45,False
2014-08-01T19:00:00-0600,227.070623053,29.38,08,01,4,False,19,00,False
2014-08-01T19:15:00-0600,223.001875389,29.02,08,01,4,False,19,15,False
2014-08-01T19:30:00-0600,219.032211838,28.67,08,01,4,False,19,30,False
2014-08-01T19:45:00-0600,210.046305296,28.32,08,01,4,False,19,45,False
2014-08-01T20:00:00-0600,207.010423676,27.97,08,01,4,False,20,00,False
2014-08-01T20:15:00-0600,218.072766355,27.63,08,01,4,False,20,15,False
2014-08-01T20:30:00-0600,220.032056075,27.3,08,01,4,False,20,30,False
2014-08-01T20:45:00-0600,205.019015576,26.96,08,01,4,False,20,45,False
2014-08-01T21:00:00-0600,201.099800623,26.63,08,01,4,False,21,00,False
2014-08-01T21:15:00-0600,199.002909657,26.33,08,01,4,False,21,15,False
2014-08-01T21:30:00-0600,176.015208723,26.03,08,01,4,False,21,30,False
2014-08-01T21:45:00-0600,167.031700935,25.73,08,01,4,False,21,45,False
2014-08-01T22:00:00-0600,182.039239875,25.44,08,01,4,False,22,00,False
2014-08-01T22:15:00-0600,183.016616822,25.17,08,01,4,False,22,15,False
2014-08-01T22:30:00-0600,171.025788162,24.91,08,01,4,False,22,30,False
2014-08-01T22:45:00-0600,157.046380062,24.64,08,01,4,False,22,45,False
2014-08-01T23:00:00-0600,158.002018692,24.38,08,01,4,False,23,00,False
2014-08-01T23:15:00-0600,154.080635514,24.2,08,01,4,False,23,15,False
2014-08-01T23:30:00-0600,160.041065421,24.03,08,01,4,False,23,30,False
2014-08-01T23:45:00-0600,150.013470405,23.85,08,01,4,False,23,45,False
2014-08-02T00:00:00-0600,129.068853583,23.68,08,02,5,True,00,00,False
2014-08-02T00:15:00-0600,139.052018692,23.5,08,02,5,True,00,15,False
2014-08-02T00:30:00-0600,124.00764486,23.32,08,02,5,True,00,30,False
2014-08-02T00:45:00-0600,117.038610592,23.14,08,02,5,True,00,45,False
2014-08-02T01:00:00-0600,108.080367601,22.97,08,02,5,True,01,00,False
2014-08-02T01:15:00-0600,112.007663551,22.8,08,02,5,True,01,15,False
2014-08-02T01:30:00-0600,110.015009346,22.63,08,02,5,True,01,30,False
2014-08-02T01:45:00-0600,102.000635514,22.46,08,02,5,True,01,45,False
2014-08-02T02:00:00-0600,87.044579439,22.29,08,02,5,True,02,00,False
2014-08-02T02:15:00-0600,97.003813084,22.02,08,02,5,True,02,15,False
2014-08-02T02:30:00-0600,94.047601246,21.75,08,02,5,True,02,30,False
2014-08-02T02:45:00-0600,80.02670405,21.48,08,02,5,True,02,45,False
2014-08-02T03:00:00-0600,88.027906542,21.22,08,02,5,True,03,00,False
2014-08-02T03:15:00-0600,75.037545171,21.09,08,02,5,True,03,15,False
2014-08-02T03:30:00-0600,84.062056075,20.96,08,02,5,True,03,30,False
2014-08-02T03:45:00-0600,82.011931464,20.83,08,02,5,True,03,45,False
2014-08-02T04:00:00-0600,78.038087227,20.71,08,02,5,True,04,00,False
2014-08-02T04:15:00-0600,83.087894081,20.67,08,02,5,True,04,15,False
2014-08-02T04:30:00-0600,80.095208723,20.64,08,02,5,True,04,30,False
2014-08-02T04:45:00-0600,77.081133956,20.61,08,02,5,True,04,45,False
2014-08-02T05:00:00-0600,84.009239875,20.58,08,02,5,True,05,00,False
2014-08-02T05:15:00-0600,79.020884735,20.35,08,02,5,True,05,15,False
2014-08-02T05:30:00-0600,78.017233645,20.12,08,02,5,True,05,30,False
2014-08-02T05:45:00-0600,72.056411215,19.89,08,02,5,True,05,45,False
2014-08-02T06:00:00-0600,68.051495327,19.66,08,02,5,True,06,00,False
2014-08-02T06:15:00-0600,71.085190031,19.83,08,02,5,True,06,15,False
2014-08-02T06:30:00-0600,73.021707165,20,08,02,5,True,06,30,False
2014-08-02T06:45:00-0600,68.082161994,20.17,08,02,5,True,06,45,False
2014-08-02T07:00:00-0600,72.056323988,20.35,08,02,5,True,07,00,False
2014-08-02T07:15:00-0600,72.063457944,20.76,08,02,5,True,07,15,False
2014-08-02T07:30:00-0600,75.029595016,21.18,08,02,5,True,07,30,False
2014-08-02T07:45:00-0600,77.03905919,21.6,08,02,5,True,07,45,False
2014-08-02T08:00:00-0600,88.030598131,22.02,08,02,5,True,08,00,False
2014-08-02T08:15:00-0600,87.030124611,22.54,08,02,5,True,08,15,False
2014-08-02T08:30:00-0600,90.083239875,23.06,08,02,5,True,08,30,False
2014-08-02T08:45:00-0600,86.055775701,23.58,08,02,5,True,08,45,False
2014-08-02T09:00:00-0600,93.068566978,24.11,08,02,5,True,09,00,False
2014-08-02T09:15:00-0600,90.045806854,24.38,08,02,5,True,09,15,False
2014-08-02T09:30:00-0600,92.000218069,24.65,08,02,5,True,09,30,False
2014-08-02T09:45:00-0600,102.088697819,24.92,08,02,5,True,09,45,False
2014-08-02T10:00:00-0600,105.040498442,25.19,08,02,5,True,10,00,False
2014-08-02T10:15:00-0600,104.029987539,25.37,08,02,5,True,10,15,False
2014-08-02T10:30:00-0600,106.070105919,25.56,08,02,5,True,10,30,False
2014-08-02T10:45:00-0600,113.086330218,25.75,08,02,5,True,10,45,False
2014-08-02T11:00:00-0600,106.023308411,25.94,08,02,5,True,11,00,False
2014-08-02T11:15:00-0600,114.049931464,26.29,08,02,5,True,11,15,False
2014-08-02T11:30:00-0600,118.054716511,26.65,08,02,5,True,11,30,False
