@relation "{\"name\": \"PECAN STREET id=26\", \"longitude\": \"30.266774\", \"id\": \"26\", \"latitude\": \"-97.738989\", \"end\": \"2016-09-24T08:59:00-05:00\", \"type\": \"RESIDENTIAL\", \"timeZoneId\": \"US/Central\", \"stepDuration\": \"PT15M\", \"start\": \"2012-11-02T19:00:00-05:00\", \"location\": \"Austin\"}"
@attribute local_time DATE "yyyy-MM-dd'T'HH:mm:ssZ"
@attribute active_power NUMERIC
@attribute temperature NUMERIC
@attribute monthOfYear {'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12'}
@attribute dayOfMonth {'00', '01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24','25', '26', '27', '28', '29', '30', '31'}
@attribute dayOfWeek {'0', '1', '2', '3', '4', '5', '6'}
@attribute Weekend {'True', 'False'}
@attribute hourOfDay {'00', '01', '02', '03', '04', '05', '06','07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@attribute quarterOfHour {'00', '15', '30', '45'}
@attribute Holiday {'True', 'False'}
@data
2014-08-01T00:00:00-0500,354.0,26.44,08,01,4,False,00,00,False
2014-08-01T00:15:00-0500,264.0,26.12,08,01,4,False,00,15,False
2014-08-01T00:30:00-0500,87.0,25.81,08,01,4,False,00,30,False
2014-08-01T00:45:00-0500,228.0,25.50,08,01,4,False,00,45,False
2014-08-01T01:00:00-0500,308.0,25.18,08,01,4,False,01,00,False
2014-08-01T01:15:00-0500,309.0,25.11,08,01,4,False,01,15,False
2014-08-01T01:30:00-0500,227.0,25.03,08,01,4,False,01,30,False
2014-08-01T01:45:00-0500,39.0,24.95,08,01,4,False,01,45,False
2014-08-01T02:00:00-0500,50.0,24.88,08,01,4,False,02,00,False
2014-08-01T02:15:00-0500,64.0,24.73,08,01,4,False,02,15,False
2014-08-01T02:30:00-0500,234.0,24.57,08,01,4,False,02,30,False
2014-08-01T02:45:00-0500,294.0,24.42,08,01,4,False,02,45,False
2014-08-01T03:00:00-0500,173.0,24.27,08,01,4,False,03,00,False
2014-08-01T03:15:00-0500,45.0,24.27,08,01,4,False,03,15,False
2014-08-01T03:30:00-0500,52.0,24.27,08,01,4,False,03,30,False
2014-08-01T03:45:00-0500,38.0,24.27,08,01,4,False,03,45,False
2014-08-01T04:00:00-0500,265.0,24.27,08,01,4,False,04,00,False
2014-08-01T04:15:00-0500,316.0,24.14,08,01,4,False,04,15,False
2014-08-01T04:30:00-0500,78.0,24.01,08,01,4,False,04,30,False
2014-08-01T04:45:00-0500,43.0,23.88,08,01,4,False,04,45,False
2014-08-01T05:00:00-0500,40.0,23.75,08,01,4,False,05,00,False
2014-08-01T05:15:00-0500,64.0,23.59,08,01,4,False,05,15,False
2014-08-01T05:30:00-0500,252.0,23.44,08,01,4,False,05,30,False
2014-08-01T05:45:00-0500,324.0,23.29,08,01,4,False,05,45,False
2014-08-01T06:00:00-0500,213.0,23.13,08,01,4,False,06,00,False
2014-08-01T06:15:00-0500,71.0,23.01,08,01,4,False,06,15,False
2014-08-01T06:30:00-0500,68.0,22.88,08,01,4,False,06,30,False
2014-08-01T06:45:00-0500,84.0,22.76,08,01,4,False,06,45,False
2014-08-01T07:00:00-0500,136.0,22.64,08,01,4,False,07,00,False
2014-08-01T07:15:00-0500,218.0,22.74,08,01,4,False,07,15,False
2014-08-01T07:30:00-0500,113.0,22.84,08,01,4,False,07,30,False
2014-08-01T07:45:00-0500,87.0,22.95,08,01,4,False,07,45,False
2014-08-01T08:00:00-0500,52.0,23.05,08,01,4,False,08,00,False
2014-08-01T08:15:00-0500,49.0,23.20,08,01,4,False,08,15,False
2014-08-01T08:30:00-0500,53.0,23.36,08,01,4,False,08,30,False
2014-08-01T08:45:00-0500,54.0,23.51,08,01,4,False,08,45,False
2014-08-01T09:00:00-0500,46.0,23.66,08,01,4,False,09,00,False
2014-08-01T09:15:00-0500,42.0,24.04,08,01,4,False,09,15,False
2014-08-01T09:30:00-0500,62.0,24.41,08,01,4,False,09,30,False
2014-08-01T09:45:00-0500,63.0,24.79,08,01,4,False,09,45,False
2014-08-01T10:00:00-0500,60.0,25.16,08,01,4,False,10,00,False
2014-08-01T10:15:00-0500,47.0,25.55,08,01,4,False,10,15,False
2014-08-01T10:30:00-0500,41.0,25.95,08,01,4,False,10,30,False
2014-08-01T10:45:00-0500,59.0,26.34,08,01,4,False,10,45,False
2014-08-01T11:00:00-0500,53.0,26.73,08,01,4,False,11,00,False
2014-08-01T11:15:00-0500,56.0,27.16,08,01,4,False,11,15,False
2014-08-01T11:30:00-0500,59.0,27.59,08,01,4,False,11,30,False
2014-08-01T11:45:00-0500,54.0,28.01,08,01,4,False,11,45,False
2014-08-01T12:00:00-0500,39.0,28.44,08,01,4,False,12,00,False
2014-08-01T12:15:00-0500,30.0,28.86,08,01,4,False,12,15,False
2014-08-01T12:30:00-0500,32.0,29.29,08,01,4,False,12,30,False
2014-08-01T12:45:00-0500,35.0,29.71,08,01,4,False,12,45,False
2014-08-01T13:00:00-0500,57.0,30.13,08,01,4,False,13,00,False
2014-08-01T13:15:00-0500,91.0,30.39,08,01,4,False,13,15,False
2014-08-01T13:30:00-0500,78.0,30.64,08,01,4,False,13,30,False
2014-08-01T13:45:00-0500,80.0,30.90,08,01,4,False,13,45,False
2014-08-01T14:00:00-0500,74.0,31.16,08,01,4,False,14,00,False
