@relation "1 dataid, 1 year 3 months"
@attribute local_time DATE "yyyy-MM-dd'T'HH:mm:ssZ"
@attribute active_power NUMERIC
@attribute temperature NUMERIC
@attribute monthOfYear {'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12'}
@attribute dayOfMonth {'00', '01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24','25', '26', '27', '28', '29', '30', '31'}
@attribute dayOfWeek {'0', '1', '2', '3', '4', '5', '6'}
@attribute Weekend {'True', 'False'}
@attribute hourOfDay {'00', '01', '02', '03', '04', '05', '06','07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@attribute quarterOfHour {'00', '15', '30', '45'}
@attribute Holiday {'True', 'False'}
@data
2014-08-01T00:00:00-0600,73.071333333,26.14,08,01,4,False,00,00,False
2014-08-01T00:15:00-0600,368.018,25.82,08,01,4,False,00,15,False
2014-08-01T00:30:00-0600,219.081333333,25.5,08,01,4,False,00,30,False
2014-08-01T00:45:00-0600,59.008,25.18,08,01,4,False,00,45,False
2014-08-01T01:00:00-0600,56.03,24.86,08,01,4,False,01,00,False
2014-08-01T01:15:00-0600,62.008,24.78,08,01,4,False,01,15,False
2014-08-01T01:30:00-0600,64.087333333,24.71,08,01,4,False,01,30,False
2014-08-01T01:45:00-0600,57.022,24.64,08,01,4,False,01,45,False
2014-08-01T02:00:00-0600,45.012,24.57,08,01,4,False,02,00,False
2014-08-01T02:15:00-0600,54.047333333,24.42,08,01,4,False,02,15,False
2014-08-01T02:30:00-0600,62.006666667,24.28,08,01,4,False,02,30,False
2014-08-01T02:45:00-0600,64.082666667,24.14,08,01,4,False,02,45,False
2014-08-01T03:00:00-0600,64.045333333,24,08,01,4,False,03,00,False
2014-08-01T03:15:00-0600,58.055333333,24,08,01,4,False,03,15,False
2014-08-01T03:30:00-0600,286.098,24,08,01,4,False,03,30,False
2014-08-01T03:45:00-0600,264.014666667,24,08,01,4,False,03,45,False
2014-08-01T04:00:00-0600,68.003333333,24,08,01,4,False,04,00,False
2014-08-01T04:15:00-0600,70.025333333,23.89,08,01,4,False,04,15,False
2014-08-01T04:30:00-0600,63.096,23.79,08,01,4,False,04,30,False
2014-08-01T04:45:00-0600,57.039333333,23.68,08,01,4,False,04,45,False
2014-08-01T05:00:00-0600,49.078,23.58,08,01,4,False,05,00,False
2014-08-01T05:15:00-0600,64.032,23.4,08,01,4,False,05,15,False
2014-08-01T05:30:00-0600,64.028,23.23,08,01,4,False,05,30,False
2014-08-01T05:45:00-0600,63.074666667,23.06,08,01,4,False,05,45,False
2014-08-01T06:00:00-0600,360.063333333,22.89,08,01,4,False,06,00,False
2014-08-01T06:15:00-0600,53.023333333,22.79,08,01,4,False,06,15,False
2014-08-01T06:30:00-0600,60.020666667,22.7,08,01,4,False,06,30,False
2014-08-01T06:45:00-0600,80.054666667,22.6,08,01,4,False,06,45,False
