@relation "1 dataid, 1 year 3 months"
@attribute local_time DATE "yyyy-MM-dd'T'HH:mm:ssZ"
@attribute active_power NUMERIC
@attribute temperature NUMERIC
@attribute monthOfYear {'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12'}
@attribute dayOfMonth {'00', '01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24','25', '26', '27', '28', '29', '30', '31'}
@attribute dayOfWeek {'0', '1', '2', '3', '4', '5', '6'}
@attribute Weekend {'True', 'False'}
@attribute hourOfDay {'00', '01', '02', '03', '04', '05', '06','07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@attribute quarterOfHour {'00', '15', '30', '45'}
@attribute Holiday {'True', 'False'}
@data
2014-08-01T00:00:00-0600,121.051333333,26.14,08,01,4,False,00,00,False
2014-08-01T00:15:00-0600,114.06,25.82,08,01,4,False,00,15,False
2014-08-01T00:30:00-0600,79.048666667,25.5,08,01,4,False,00,30,False
2014-08-01T00:45:00-0600,73.055333333,25.18,08,01,4,False,00,45,False
2014-08-01T01:00:00-0600,99.002,24.86,08,01,4,False,01,00,False
2014-08-01T01:15:00-0600,100.005333333,24.78,08,01,4,False,01,15,False
2014-08-01T01:30:00-0600,41.004666667,24.71,08,01,4,False,01,30,False
2014-08-01T01:45:00-0600,97.011333333,24.64,08,01,4,False,01,45,False
2014-08-01T02:00:00-0600,89.072,24.57,08,01,4,False,02,00,False
2014-08-01T02:15:00-0600,39.064,24.42,08,01,4,False,02,15,False
2014-08-01T02:30:00-0600,86.069333333,24.28,08,01,4,False,02,30,False
2014-08-01T02:45:00-0600,102.011333333,24.14,08,01,4,False,02,45,False
2014-08-01T03:00:00-0600,48.024666667,24,08,01,4,False,03,00,False
2014-08-01T03:15:00-0600,69.045333333,24,08,01,4,False,03,15,False
2014-08-01T03:30:00-0600,94.082666667,24,08,01,4,False,03,30,False
2014-08-01T03:45:00-0600,33.050666667,24,08,01,4,False,03,45,False
2014-08-01T04:00:00-0600,91.071333333,24,08,01,4,False,04,00,False
2014-08-01T04:15:00-0600,53.004,23.89,08,01,4,False,04,15,False
2014-08-01T04:30:00-0600,77.01,23.79,08,01,4,False,04,30,False
2014-08-01T04:45:00-0600,72.095333333,23.68,08,01,4,False,04,45,False
2014-08-01T05:00:00-0600,55.010666667,23.58,08,01,4,False,05,00,False
2014-08-01T05:15:00-0600,63.072666667,23.4,08,01,4,False,05,15,False
2014-08-01T05:30:00-0600,65.097333333,23.23,08,01,4,False,05,30,False
2014-08-01T05:45:00-0600,45.070666667,23.06,08,01,4,False,05,45,False
2014-08-01T06:00:00-0600,82.000666667,22.89,08,01,4,False,06,00,False
2014-08-01T06:15:00-0600,33.098,22.79,08,01,4,False,06,15,False
2014-08-01T06:30:00-0600,110.05,22.7,08,01,4,False,06,30,False
2014-08-01T06:45:00-0600,89.034666667,22.6,08,01,4,False,06,45,False
2014-08-01T07:00:00-0600,34.029333333,22.51,08,01,4,False,07,00,False
2014-08-01T07:15:00-0600,91.087333333,22.61,08,01,4,False,07,15,False
2014-08-01T07:30:00-0600,15.073333333,22.71,08,01,4,False,07,30,False
2014-08-01T07:45:00-0600,12.065333333,22.81,08,01,4,False,07,45,False
2014-08-01T08:00:00-0600,13.076,22.91,08,01,4,False,08,00,False
2014-08-01T08:15:00-0600,18.075333333,23.06,08,01,4,False,08,15,False
2014-08-01T08:30:00-0600,14.011333333,23.21,08,01,4,False,08,30,False
2014-08-01T08:45:00-0600,15.025333333,23.36,08,01,4,False,08,45,False
2014-08-01T09:00:00-0600,10.082,23.52,08,01,4,False,09,00,False
2014-08-01T09:15:00-0600,17.081333333,23.92,08,01,4,False,09,15,False
2014-08-01T09:30:00-0600,35.054666667,24.32,08,01,4,False,09,30,False
2014-08-01T09:45:00-0600,45.085333333,24.72,08,01,4,False,09,45,False
2014-08-01T10:00:00-0600,29.09,25.13,08,01,4,False,10,00,False
2014-08-01T10:15:00-0600,33.004,25.52,08,01,4,False,10,15,False
2014-08-01T10:30:00-0600,24.076,25.92,08,01,4,False,10,30,False
2014-08-01T10:45:00-0600,44.022,26.31,08,01,4,False,10,45,False
2014-08-01T11:00:00-0600,35.001333333,26.71,08,01,4,False,11,00,False
2014-08-01T11:15:00-0600,28.092666667,27.12,08,01,4,False,11,15,False
2014-08-01T11:30:00-0600,59.005333333,27.54,08,01,4,False,11,30,False
2014-08-01T11:45:00-0600,33.097333333,27.95,08,01,4,False,11,45,False
2014-08-01T12:00:00-0600,14.049333333,28.37,08,01,4,False,12,00,False
2014-08-01T12:15:00-0600,15.027333333,28.79,08,01,4,False,12,15,False
2014-08-01T12:30:00-0600,11.094,29.22,08,01,4,False,12,30,False
2014-08-01T12:45:00-0600,67.052666667,29.64,08,01,4,False,12,45,False
2014-08-01T13:00:00-0600,11.05,30.07,08,01,4,False,13,00,False
2014-08-01T13:15:00-0600,24.042,30.28,08,01,4,False,13,15,False
2014-08-01T13:30:00-0600,81.041333333,30.5,08,01,4,False,13,30,False
2014-08-01T13:45:00-0600,30.093333333,30.72,08,01,4,False,13,45,False
2014-08-01T14:00:00-0600,82.002,30.94,08,01,4,False,14,00,False
2014-08-01T14:15:00-0600,122.065333333,31.1,08,01,4,False,14,15,False
2014-08-01T14:30:00-0600,50.048666667,31.27,08,01,4,False,14,30,False
2014-08-01T14:45:00-0600,119.02,31.43,08,01,4,False,14,45,False
2014-08-01T15:00:00-0600,73.09,31.6,08,01,4,False,15,00,False
2014-08-01T15:15:00-0600,162.004666667,31.61,08,01,4,False,15,15,False
2014-08-01T15:30:00-0600,171.046,31.63,08,01,4,False,15,30,False
2014-08-01T15:45:00-0600,184.08,31.64,08,01,4,False,15,45,False
2014-08-01T16:00:00-0600,182.026,31.66,08,01,4,False,16,00,False
2014-08-01T16:15:00-0600,176.082666667,31.58,08,01,4,False,16,15,False
2014-08-01T16:30:00-0600,173.003333333,31.51,08,01,4,False,16,30,False
2014-08-01T16:45:00-0600,173.008,31.44,08,01,4,False,16,45,False
2014-08-01T17:00:00-0600,181.071333333,31.37,08,01,4,False,17,00,False
2014-08-01T17:15:00-0600,173.056666667,31.23,08,01,4,False,17,15,False
2014-08-01T17:30:00-0600,170.005333333,31.09,08,01,4,False,17,30,False
2014-08-01T17:45:00-0600,170.000666667,30.95,08,01,4,False,17,45,False
2014-08-01T18:00:00-0600,158.054,30.81,08,01,4,False,18,00,False
2014-08-01T18:15:00-0600,181.022,30.45,08,01,4,False,18,15,False
2014-08-01T18:30:00-0600,186.044,30.09,08,01,4,False,18,30,False
2014-08-01T18:45:00-0600,139.065333333,29.73,08,01,4,False,18,45,False
2014-08-01T19:00:00-0600,194.039333333,29.38,08,01,4,False,19,00,False
2014-08-01T19:15:00-0600,188.090666667,29.02,08,01,4,False,19,15,False
2014-08-01T19:30:00-0600,181.053333333,28.67,08,01,4,False,19,30,False
2014-08-01T19:45:00-0600,184.016666667,28.32,08,01,4,False,19,45,False
2014-08-01T20:00:00-0600,184.012,27.97,08,01,4,False,20,00,False
2014-08-01T20:15:00-0600,134.021333333,27.63,08,01,4,False,20,15,False
2014-08-01T20:30:00-0600,116.02,27.3,08,01,4,False,20,30,False
2014-08-01T20:45:00-0600,125.084666667,26.96,08,01,4,False,20,45,False
2014-08-01T21:00:00-0600,103.084,26.63,08,01,4,False,21,00,False
2014-08-01T21:15:00-0600,76.050666667,26.33,08,01,4,False,21,15,False
2014-08-01T21:30:00-0600,110.087333333,26.03,08,01,4,False,21,30,False
2014-08-01T21:45:00-0600,165.044,25.73,08,01,4,False,21,45,False
2014-08-01T22:00:00-0600,98.002,25.44,08,01,4,False,22,00,False
2014-08-01T22:15:00-0600,105.078666667,25.17,08,01,4,False,22,15,False
2014-08-01T22:30:00-0600,145.035333333,24.91,08,01,4,False,22,30,False
2014-08-01T22:45:00-0600,86.085333333,24.64,08,01,4,False,22,45,False
2014-08-01T23:00:00-0600,50.031333333,24.38,08,01,4,False,23,00,False
2014-08-01T23:15:00-0600,83.020666667,24.2,08,01,4,False,23,15,False
2014-08-01T23:30:00-0600,99.095333333,24.03,08,01,4,False,23,30,False
2014-08-01T23:45:00-0600,21.052666667,23.85,08,01,4,False,23,45,False
2014-08-02T00:00:00-0600,86.034,23.68,08,02,5,True,00,00,False
2014-08-02T00:15:00-0600,45.019333333,23.5,08,02,5,True,00,15,False
2014-08-02T00:30:00-0600,66.025333333,23.32,08,02,5,True,00,30,False
2014-08-02T00:45:00-0600,58.044666667,23.14,08,02,5,True,00,45,False
2014-08-02T01:00:00-0600,53.036666667,22.97,08,02,5,True,01,00,False
2014-08-02T01:15:00-0600,59.008666667,22.8,08,02,5,True,01,15,False
2014-08-02T01:30:00-0600,59.087333333,22.63,08,02,5,True,01,30,False
2014-08-02T01:45:00-0600,58.043333333,22.46,08,02,5,True,01,45,False
2014-08-02T02:00:00-0600,44.058666667,22.29,08,02,5,True,02,00,False
2014-08-02T02:15:00-0600,27.064,22.02,08,02,5,True,02,15,False
2014-08-02T02:30:00-0600,82.085333333,21.75,08,02,5,True,02,30,False
2014-08-02T02:45:00-0600,22.064666667,21.48,08,02,5,True,02,45,False
2014-08-02T03:00:00-0600,54.077333333,21.22,08,02,5,True,03,00,False
2014-08-02T03:15:00-0600,48.074,21.09,08,02,5,True,03,15,False
2014-08-02T03:30:00-0600,26.046,20.96,08,02,5,True,03,30,False
2014-08-02T03:45:00-0600,75.048666667,20.83,08,02,5,True,03,45,False
2014-08-02T04:00:00-0600,21.082,20.71,08,02,5,True,04,00,False
2014-08-02T04:15:00-0600,30.079333333,20.67,08,02,5,True,04,15,False
2014-08-02T04:30:00-0600,76.046666667,20.64,08,02,5,True,04,30,False
2014-08-02T04:45:00-0600,22.068,20.61,08,02,5,True,04,45,False
2014-08-02T05:00:00-0600,22.078,20.58,08,02,5,True,05,00,False
2014-08-02T05:15:00-0600,84.008,20.35,08,02,5,True,05,15,False
2014-08-02T05:30:00-0600,23.035333333,20.12,08,02,5,True,05,30,False
