@relation "50 dataids, 1 year 3 months"
@attribute local_time DATE "yyyy-MM-dd'T'HH:mm:ssZ"
@attribute active_power NUMERIC
@attribute temperature NUMERIC
@attribute monthOfYear {'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12'}
@attribute dayOfMonth {'00', '01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24','25', '26', '27', '28', '29', '30', '31'}
@attribute dayOfWeek {'0', '1', '2', '3', '4', '5', '6'}
@attribute Weekend {'True', 'False'}
@attribute hourOfDay {'00', '01', '02', '03', '04', '05', '06','07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@attribute quarterOfHour {'00', '15', '30', '45'}
@attribute Holiday {'True', 'False'}
@data
2014-08-01T00:00:00-0600,140.068809524,26.14,08,01,4,False,00,00,False
2014-08-01T00:15:00-0600,141.094130952,25.82,08,01,4,False,00,15,False
2014-08-01T00:30:00-0600,120.016880952,25.5,08,01,4,False,00,30,False
2014-08-01T00:45:00-0600,120.079202381,25.18,08,01,4,False,00,45,False
2014-08-01T01:00:00-0600,111.017333333,24.86,08,01,4,False,01,00,False
2014-08-01T01:15:00-0600,115.075904762,24.78,08,01,4,False,01,15,False
2014-08-01T01:30:00-0600,122.001547619,24.71,08,01,4,False,01,30,False
2014-08-01T01:45:00-0600,98.037809524,24.64,08,01,4,False,01,45,False
2014-08-01T02:00:00-0600,109.031535714,24.57,08,01,4,False,02,00,False
2014-08-01T02:15:00-0600,121.011738095,24.42,08,01,4,False,02,15,False
2014-08-01T02:30:00-0600,86.088119048,24.28,08,01,4,False,02,30,False
2014-08-01T02:45:00-0600,113.048654762,24.14,08,01,4,False,02,45,False
2014-08-01T03:00:00-0600,99.03772619,24,08,01,4,False,03,00,False
2014-08-01T03:15:00-0600,115.089285714,24,08,01,4,False,03,15,False
2014-08-01T03:30:00-0600,78.083559524,24,08,01,4,False,03,30,False
2014-08-01T03:45:00-0600,87.030357143,24,08,01,4,False,03,45,False
2014-08-01T04:00:00-0600,90.080654762,24,08,01,4,False,04,00,False
2014-08-01T04:15:00-0600,91.039452381,23.89,08,01,4,False,04,15,False
2014-08-01T04:30:00-0600,87.063297619,23.79,08,01,4,False,04,30,False
2014-08-01T04:45:00-0600,96.021047619,23.68,08,01,4,False,04,45,False
2014-08-01T05:00:00-0600,95.02597619,23.58,08,01,4,False,05,00,False
2014-08-01T05:15:00-0600,91.022071429,23.4,08,01,4,False,05,15,False
2014-08-01T05:30:00-0600,78.032690476,23.23,08,01,4,False,05,30,False
2014-08-01T05:45:00-0600,81.04622619,23.06,08,01,4,False,05,45,False
2014-08-01T06:00:00-0600,85.014095238,22.89,08,01,4,False,06,00,False
2014-08-01T06:15:00-0600,76.002309524,22.79,08,01,4,False,06,15,False
2014-08-01T06:30:00-0600,85.035047619,22.7,08,01,4,False,06,30,False
2014-08-01T06:45:00-0600,83.047047619,22.6,08,01,4,False,06,45,False
2014-08-01T07:00:00-0600,79.00927381,22.51,08,01,4,False,07,00,False
2014-08-01T07:15:00-0600,83.038964286,22.61,08,01,4,False,07,15,False
2014-08-01T07:30:00-0600,79.003535714,22.71,08,01,4,False,07,30,False
2014-08-01T07:45:00-0600,71.03647619,22.81,08,01,4,False,07,45,False
2014-08-01T08:00:00-0600,73.052107143,22.91,08,01,4,False,08,00,False
2014-08-01T08:15:00-0600,70.002595238,23.06,08,01,4,False,08,15,False
2014-08-01T08:30:00-0600,79.002952381,23.21,08,01,4,False,08,30,False
2014-08-01T08:45:00-0600,70.082583333,23.36,08,01,4,False,08,45,False
2014-08-01T09:00:00-0600,65.051607143,23.52,08,01,4,False,09,00,False
2014-08-01T09:15:00-0600,71.014964286,23.92,08,01,4,False,09,15,False
2014-08-01T09:30:00-0600,86.028047619,24.32,08,01,4,False,09,30,False
2014-08-01T09:45:00-0600,72.057607143,24.72,08,01,4,False,09,45,False
2014-08-01T10:00:00-0600,69.068642857,25.13,08,01,4,False,10,00,False
2014-08-01T10:15:00-0600,62.052785714,25.52,08,01,4,False,10,15,False
2014-08-01T10:30:00-0600,83.037678571,25.92,08,01,4,False,10,30,False
2014-08-01T10:45:00-0600,78.085178571,26.31,08,01,4,False,10,45,False
2014-08-01T11:00:00-0600,97.036916667,26.71,08,01,4,False,11,00,False
2014-08-01T11:15:00-0600,94.096714286,27.12,08,01,4,False,11,15,False
2014-08-01T11:30:00-0600,115.081130952,27.54,08,01,4,False,11,30,False
2014-08-01T11:45:00-0600,125.092404762,27.95,08,01,4,False,11,45,False
2014-08-01T12:00:00-0600,129.065904762,28.37,08,01,4,False,12,00,False
2014-08-01T12:15:00-0600,112.091654762,28.79,08,01,4,False,12,15,False
2014-08-01T12:30:00-0600,110.033178571,29.22,08,01,4,False,12,30,False
2014-08-01T12:45:00-0600,114.008142857,29.64,08,01,4,False,12,45,False
2014-08-01T13:00:00-0600,127.057666667,30.07,08,01,4,False,13,00,False
2014-08-01T13:15:00-0600,115.026571429,30.28,08,01,4,False,13,15,False
2014-08-01T13:30:00-0600,137.08925,30.5,08,01,4,False,13,30,False
2014-08-01T13:45:00-0600,121.059678571,30.72,08,01,4,False,13,45,False
2014-08-01T14:00:00-0600,103.098059524,30.94,08,01,4,False,14,00,False
2014-08-01T14:15:00-0600,134.049440476,31.1,08,01,4,False,14,15,False
2014-08-01T14:30:00-0600,134.06397619,31.27,08,01,4,False,14,30,False
2014-08-01T14:45:00-0600,155.02372619,31.43,08,01,4,False,14,45,False
2014-08-01T15:00:00-0600,156.074785714,31.6,08,01,4,False,15,00,False
2014-08-01T15:15:00-0600,162.077214286,31.61,08,01,4,False,15,15,False
2014-08-01T15:30:00-0600,162.061642857,31.63,08,01,4,False,15,30,False
2014-08-01T15:45:00-0600,173.097714286,31.64,08,01,4,False,15,45,False
2014-08-01T16:00:00-0600,176.083119048,31.66,08,01,4,False,16,00,False
2014-08-01T16:15:00-0600,160.058761905,31.58,08,01,4,False,16,15,False
2014-08-01T16:30:00-0600,189.040428571,31.51,08,01,4,False,16,30,False
2014-08-01T16:45:00-0600,179.059107143,31.44,08,01,4,False,16,45,False
2014-08-01T17:00:00-0600,167.081845238,31.37,08,01,4,False,17,00,False
2014-08-01T17:15:00-0600,178.068190476,31.23,08,01,4,False,17,15,False
2014-08-01T17:30:00-0600,172.031309524,31.09,08,01,4,False,17,30,False
2014-08-01T17:45:00-0600,182.007892857,30.95,08,01,4,False,17,45,False
