@relation "all dataids, 1 year 3 months"
@attribute local_time DATE "yyyy-MM-dd'T'HH:mm:ssZ"
@attribute active_power NUMERIC
@attribute temperature NUMERIC
@attribute monthOfYear {'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12'}
@attribute dayOfMonth {'00', '01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24','25', '26', '27', '28', '29', '30', '31'}
@attribute dayOfWeek {'0', '1', '2', '3', '4', '5', '6'}
@attribute Weekend {'True', 'False'}
@attribute hourOfDay {'00', '01', '02', '03', '04', '05', '06','07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@attribute quarterOfHour {'00', '15', '30', '45'}
@attribute Holiday {'True', 'False'}
@data
2014-08-01T00:00:00-0600,153.05498156,26.14,08,01,4,False,00,00,False
2014-08-01T00:15:00-0600,147.07581844,25.82,08,01,4,False,00,15,False
2014-08-01T00:30:00-0600,135.012653901,25.5,08,01,4,False,00,30,False
2014-08-01T00:45:00-0600,130.050805674,25.18,08,01,4,False,00,45,False
2014-08-01T01:00:00-0600,127.086004255,24.86,08,01,4,False,01,00,False
2014-08-01T01:15:00-0600,127.065964539,24.78,08,01,4,False,01,15,False
2014-08-01T01:30:00-0600,120.042495035,24.71,08,01,4,False,01,30,False
2014-08-01T01:45:00-0600,116.077002837,24.64,08,01,4,False,01,45,False
2014-08-01T02:00:00-0600,111.012825532,24.57,08,01,4,False,02,00,False
2014-08-01T02:15:00-0600,108.029521986,24.42,08,01,4,False,02,15,False
2014-08-01T02:30:00-0600,104.043224113,24.28,08,01,4,False,02,30,False
2014-08-01T02:45:00-0600,101.085100709,24.14,08,01,4,False,02,45,False
2014-08-01T03:00:00-0600,105.076,24,08,01,4,False,03,00,False
2014-08-01T03:15:00-0600,104.041643972,24,08,01,4,False,03,15,False
2014-08-01T03:30:00-0600,97.069523404,24,08,01,4,False,03,30,False
2014-08-01T03:45:00-0600,97.019005674,24,08,01,4,False,03,45,False
2014-08-01T04:00:00-0600,96.034990446,24,08,01,4,False,04,00,False
2014-08-01T04:15:00-0600,96.088806794,23.89,08,01,4,False,04,15,False
2014-08-01T04:30:00-0600,92.012983723,23.79,08,01,4,False,04,30,False
2014-08-01T04:45:00-0600,96.080877565,23.68,08,01,4,False,04,45,False
2014-08-01T05:00:00-0600,98.08770276,23.58,08,01,4,False,05,00,False
2014-08-01T05:15:00-0600,91.053869781,23.4,08,01,4,False,05,15,False
2014-08-01T05:30:00-0600,88.086976645,23.23,08,01,4,False,05,30,False
2014-08-01T05:45:00-0600,91.006532201,23.06,08,01,4,False,05,45,False
2014-08-01T06:00:00-0600,93.058808209,22.89,08,01,4,False,06,00,False
2014-08-01T06:15:00-0600,90.096786978,22.79,08,01,4,False,06,15,False
2014-08-01T06:30:00-0600,87.028927105,22.7,08,01,4,False,06,30,False
2014-08-01T06:45:00-0600,92.039449398,22.6,08,01,4,False,06,45,False
2014-08-01T07:00:00-0600,99.021793347,22.51,08,01,4,False,07,00,False
2014-08-01T07:15:00-0600,96.09990092,22.61,08,01,4,False,07,15,False
2014-08-01T07:30:00-0600,93.061777778,22.71,08,01,4,False,07,30,False
2014-08-01T07:45:00-0600,91.087847134,22.81,08,01,4,False,07,45,False
2014-08-01T08:00:00-0600,93.036837933,22.91,08,01,4,False,08,00,False
2014-08-01T08:15:00-0600,96.089692852,23.06,08,01,4,False,08,15,False
2014-08-01T08:30:00-0600,91.072407643,23.21,08,01,4,False,08,30,False
2014-08-01T08:45:00-0600,92.045296532,23.36,08,01,4,False,08,45,False
2014-08-01T09:00:00-0600,92.049735315,23.52,08,01,4,False,09,00,False
2014-08-01T09:15:00-0600,95.013150743,23.92,08,01,4,False,09,15,False
2014-08-01T09:30:00-0600,96.010878981,24.32,08,01,4,False,09,30,False
2014-08-01T09:45:00-0600,95.084982307,24.72,08,01,4,False,09,45,False
