@relation "temperature data for 1 year and 3 months, in hour steps"
@attribute local_time DATE "yyyy-MM-dd'T'HH:mm:ssZ"
@attribute temperature NUMERIC
@data
2014-08-01T00:00:00-0600,26.14
2014-08-01T00:15:00-0600,25.82
2014-08-01T00:30:00-0600,25.5
2014-08-01T00:45:00-0600,25.18
2014-08-01T01:00:00-0600,24.86
2014-08-01T01:15:00-0600,24.78
2014-08-01T01:30:00-0600,24.71
2014-08-01T01:45:00-0600,24.64
2014-08-01T02:00:00-0600,24.57
2014-08-01T02:15:00-0600,24.42
2014-08-01T02:30:00-0600,24.28
2014-08-01T02:45:00-0600,24.14
2014-08-01T03:00:00-0600,24
2014-08-01T03:15:00-0600,24
2014-08-01T03:30:00-0600,24
2014-08-01T03:45:00-0600,24
2014-08-01T04:00:00-0600,24
2014-08-01T04:15:00-0600,23.89
2014-08-01T04:30:00-0600,23.79
2014-08-01T04:45:00-0600,23.68
2014-08-01T05:00:00-0600,23.58
2014-08-01T05:15:00-0600,23.4
2014-08-01T05:30:00-0600,23.23
2014-08-01T05:45:00-0600,23.06
2014-08-01T06:00:00-0600,22.89
2014-08-01T06:15:00-0600,22.79
2014-08-01T06:30:00-0600,22.7
2014-08-01T06:45:00-0600,22.6
2014-08-01T07:00:00-0600,22.51
2014-08-01T07:15:00-0600,22.61
2014-08-01T07:30:00-0600,22.71
2014-08-01T07:45:00-0600,22.81
2014-08-01T08:00:00-0600,22.91
2014-08-01T08:15:00-0600,23.06
2014-08-01T08:30:00-0600,23.21
2014-08-01T08:45:00-0600,23.36
2014-08-01T09:00:00-0600,23.52
2014-08-01T09:15:00-0600,23.92
2014-08-01T09:30:00-0600,24.32
2014-08-01T09:45:00-0600,24.72
2014-08-01T10:00:00-0600,25.13
2014-08-01T10:15:00-0600,25.52
2014-08-01T10:30:00-0600,25.92
2014-08-01T10:45:00-0600,26.31
2014-08-01T11:00:00-0600,26.71
2014-08-01T11:15:00-0600,27.12
2014-08-01T11:30:00-0600,27.54
2014-08-01T11:45:00-0600,27.95
2014-08-01T12:00:00-0600,28.37
2014-08-01T12:15:00-0600,28.79
2014-08-01T12:30:00-0600,29.22
2014-08-01T12:45:00-0600,29.64
2014-08-01T13:00:00-0600,30.07
2014-08-01T13:15:00-0600,30.28
2014-08-01T13:30:00-0600,30.5
2014-08-01T13:45:00-0600,30.72
2014-08-01T14:00:00-0600,30.94
2014-08-01T14:15:00-0600,31.1
2014-08-01T14:30:00-0600,31.27
2014-08-01T14:45:00-0600,31.43
2014-08-01T15:00:00-0600,31.6
2014-08-01T15:15:00-0600,31.61
2014-08-01T15:30:00-0600,31.63
2014-08-01T15:45:00-0600,31.64
2014-08-01T16:00:00-0600,31.66
2014-08-01T16:15:00-0600,31.58
2014-08-01T16:30:00-0600,31.51
2014-08-01T16:45:00-0600,31.44
2014-08-01T17:00:00-0600,31.37
2014-08-01T17:15:00-0600,31.23
2014-08-01T17:30:00-0600,31.09
2014-08-01T17:45:00-0600,30.95
2014-08-01T18:00:00-0600,30.81
2014-08-01T18:15:00-0600,30.45
2014-08-01T18:30:00-0600,30.09
2014-08-01T18:45:00-0600,29.73
2014-08-01T19:00:00-0600,29.38
2014-08-01T19:15:00-0600,29.02
2014-08-01T19:30:00-0600,28.67
2014-08-01T19:45:00-0600,28.32
2014-08-01T20:00:00-0600,27.97
2014-08-01T20:15:00-0600,27.63
2014-08-01T20:30:00-0600,27.3
2014-08-01T20:45:00-0600,26.96
2014-08-01T21:00:00-0600,26.63
2014-08-01T21:15:00-0600,26.33
2014-08-01T21:30:00-0600,26.03
2014-08-01T21:45:00-0600,25.73
2014-08-01T22:00:00-0600,25.44
2014-08-01T22:15:00-0600,25.17
2014-08-01T22:30:00-0600,24.91
2014-08-01T22:45:00-0600,24.64
2014-08-01T23:00:00-0600,24.38
2014-08-01T23:15:00-0600,24.2
2014-08-01T23:30:00-0600,24.03
2014-08-01T23:45:00-0600,23.85
2014-08-02T00:00:00-0600,23.68
2014-08-02T00:15:00-0600,23.5
2014-08-02T00:30:00-0600,23.32
2014-08-02T00:45:00-0600,23.14
2014-08-02T01:00:00-0600,22.97
2014-08-02T01:15:00-0600,22.8
2014-08-02T01:30:00-0600,22.63
2014-08-02T01:45:00-0600,22.46
2014-08-02T02:00:00-0600,22.29
2014-08-02T02:15:00-0600,22.02
2014-08-02T02:30:00-0600,21.75
2014-08-02T02:45:00-0600,21.48
2014-08-02T03:00:00-0600,21.22
2014-08-02T03:15:00-0600,21.09
2014-08-02T03:30:00-0600,20.96
2014-08-02T03:45:00-0600,20.83
2014-08-02T04:00:00-0600,20.71
2014-08-02T04:15:00-0600,20.67
2014-08-02T04:30:00-0600,20.64
2014-08-02T04:45:00-0600,20.61
2014-08-02T05:00:00-0600,20.58
2014-08-02T05:15:00-0600,20.35
2014-08-02T05:30:00-0600,20.12
2014-08-02T05:45:00-0600,19.89
2014-08-02T06:00:00-0600,19.66
2014-08-02T06:15:00-0600,19.83
2014-08-02T06:30:00-0600,20
2014-08-02T06:45:00-0600,20.17
2014-08-02T07:00:00-0600,20.35
2014-08-02T07:15:00-0600,20.76
2014-08-02T07:30:00-0600,21.18
2014-08-02T07:45:00-0600,21.6
2014-08-02T08:00:00-0600,22.02
2014-08-02T08:15:00-0600,22.54
2014-08-02T08:30:00-0600,23.06
2014-08-02T08:45:00-0600,23.58
2014-08-02T09:00:00-0600,24.11
2014-08-02T09:15:00-0600,24.38
2014-08-02T09:30:00-0600,24.65
2014-08-02T09:45:00-0600,24.92
2014-08-02T10:00:00-0600,25.19
2014-08-02T10:15:00-0600,25.37
2014-08-02T10:30:00-0600,25.56
2014-08-02T10:45:00-0600,25.75
2014-08-02T11:00:00-0600,25.94
2014-08-02T11:15:00-0600,26.29
2014-08-02T11:30:00-0600,26.65
2014-08-02T11:45:00-0600,27
2014-08-02T12:00:00-0600,27.36
2014-08-02T12:15:00-0600,27.54
2014-08-02T12:30:00-0600,27.72
2014-08-02T12:45:00-0600,27.9
2014-08-02T13:00:00-0600,28.09
2014-08-02T13:15:00-0600,28.56
2014-08-02T13:30:00-0600,29.04
2014-08-02T13:45:00-0600,29.52
2014-08-02T14:00:00-0600,30
2014-08-02T14:15:00-0600,30.14
2014-08-02T14:30:00-0600,30.28
2014-08-02T14:45:00-0600,30.42
2014-08-02T15:00:00-0600,30.56
2014-08-02T15:15:00-0600,30.55
2014-08-02T15:30:00-0600,30.54
2014-08-02T15:45:00-0600,30.53
2014-08-02T16:00:00-0600,30.53
2014-08-02T16:15:00-0600,30.67
2014-08-02T16:30:00-0600,30.81
2014-08-02T16:45:00-0600,30.95
2014-08-02T17:00:00-0600,31.1
2014-08-02T17:15:00-0600,30.96
2014-08-02T17:30:00-0600,30.83
2014-08-02T17:45:00-0600,30.69
2014-08-02T18:00:00-0600,30.56
2014-08-02T18:15:00-0600,30.25
2014-08-02T18:30:00-0600,29.95
2014-08-02T18:45:00-0600,29.64
