@relation "Aggregate over 420 dataids in 1 year"
@attribute local_time DATE "yyyy-MM-dd'T'HH:mm:ssZ"
@attribute active_power NUMERIC
@attribute temperature NUMERIC
@attribute monthOfYear {'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12'}
@attribute dayOfMonth {'00', '01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24','25', '26', '27', '28', '29', '30', '31'}
@attribute dayOfWeek {'0', '1', '2', '3', '4', '5', '6'}
@attribute Weekend {'True', 'False'}
@attribute hourOfDay {'00', '01', '02', '03', '04', '05', '06','07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@attribute quarterOfHour {'00', '15', '30', '45'}
@attribute Holiday {'True', 'False'}
@data
2014-08-01T00:00:00-0600,153.55,26.14,08,01,4,False,00,00,False
2014-08-01T00:15:00-0600,147.76,25.82,08,01,4,False,00,15,False
2014-08-01T00:30:00-0600,135.13,25.5,08,01,4,False,00,30,False
2014-08-01T00:45:00-0600,130.51,25.18,08,01,4,False,00,45,False
2014-08-01T01:00:00-0600,127.86,24.86,08,01,4,False,01,00,False
2014-08-01T01:15:00-0600,127.66,24.78,08,01,4,False,01,15,False
2014-08-01T01:30:00-0600,120.42,24.71,08,01,4,False,01,30,False
2014-08-01T01:45:00-0600,116.77,24.64,08,01,4,False,01,45,False
2014-08-01T02:00:00-0600,111.13,24.57,08,01,4,False,02,00,False
2014-08-01T02:15:00-0600,108.3,24.42,08,01,4,False,02,15,False
2014-08-01T02:30:00-0600,104.43,24.28,08,01,4,False,02,30,False
2014-08-01T02:45:00-0600,101.85,24.14,08,01,4,False,02,45,False
2014-08-01T03:00:00-0600,105.76,24,08,01,4,False,03,00,False
2014-08-01T03:15:00-0600,104.42,24,08,01,4,False,03,15,False
2014-08-01T03:30:00-0600,97.7,24,08,01,4,False,03,30,False
2014-08-01T03:45:00-0600,97.19,24,08,01,4,False,03,45,False
2014-08-01T04:00:00-0600,96.35,24,08,01,4,False,04,00,False
2014-08-01T04:15:00-0600,96.89,23.89,08,01,4,False,04,15,False
2014-08-01T04:30:00-0600,92.13,23.79,08,01,4,False,04,30,False
2014-08-01T04:45:00-0600,96.81,23.68,08,01,4,False,04,45,False
2014-08-01T05:00:00-0600,98.88,23.58,08,01,4,False,05,00,False
2014-08-01T05:15:00-0600,91.54,23.4,08,01,4,False,05,15,False
2014-08-01T05:30:00-0600,88.87,23.23,08,01,4,False,05,30,False
2014-08-01T05:45:00-0600,91.07,23.06,08,01,4,False,05,45,False
2014-08-01T06:00:00-0600,93.59,22.89,08,01,4,False,06,00,False
2014-08-01T06:15:00-0600,90.97,22.79,08,01,4,False,06,15,False
2014-08-01T06:30:00-0600,87.29,22.7,08,01,4,False,06,30,False
2014-08-01T06:45:00-0600,92.39,22.6,08,01,4,False,06,45,False
2014-08-01T07:00:00-0600,99.22,22.51,08,01,4,False,07,00,False
2014-08-01T07:15:00-0600,97,22.61,08,01,4,False,07,15,False
2014-08-01T07:30:00-0600,93.62,22.71,08,01,4,False,07,30,False
2014-08-01T07:45:00-0600,91.88,22.81,08,01,4,False,07,45,False
2014-08-01T08:00:00-0600,93.37,22.91,08,01,4,False,08,00,False
2014-08-01T08:15:00-0600,96.9,23.06,08,01,4,False,08,15,False
2014-08-01T08:30:00-0600,91.72,23.21,08,01,4,False,08,30,False
2014-08-01T08:45:00-0600,92.45,23.36,08,01,4,False,08,45,False
2014-08-01T09:00:00-0600,92.5,23.52,08,01,4,False,09,00,False
2014-08-01T09:15:00-0600,95.13,23.92,08,01,4,False,09,15,False
2014-08-01T09:30:00-0600,96.11,24.32,08,01,4,False,09,30,False
2014-08-01T09:45:00-0600,95.85,24.72,08,01,4,False,09,45,False
2014-08-01T10:00:00-0600,100.28,25.13,08,01,4,False,10,00,False
2014-08-01T10:15:00-0600,93.64,25.52,08,01,4,False,10,15,False
2014-08-01T10:30:00-0600,101.01,25.92,08,01,4,False,10,30,False
2014-08-01T10:45:00-0600,102.76,26.31,08,01,4,False,10,45,False
2014-08-01T11:00:00-0600,111.4,26.71,08,01,4,False,11,00,False
2014-08-01T11:15:00-0600,111.85,27.12,08,01,4,False,11,15,False
2014-08-01T11:30:00-0600,117.69,27.54,08,01,4,False,11,30,False
2014-08-01T11:45:00-0600,116.64,27.95,08,01,4,False,11,45,False
2014-08-01T12:00:00-0600,126.15,28.37,08,01,4,False,12,00,False
2014-08-01T12:15:00-0600,126.94,28.79,08,01,4,False,12,15,False
2014-08-01T12:30:00-0600,129.94,29.22,08,01,4,False,12,30,False
2014-08-01T12:45:00-0600,139.68,29.64,08,01,4,False,12,45,False
2014-08-01T13:00:00-0600,139.81,30.07,08,01,4,False,13,00,False
2014-08-01T13:15:00-0600,146.21,30.28,08,01,4,False,13,15,False
2014-08-01T13:30:00-0600,155.27,30.5,08,01,4,False,13,30,False
2014-08-01T13:45:00-0600,156.06,30.72,08,01,4,False,13,45,False
2014-08-01T14:00:00-0600,158.75,30.94,08,01,4,False,14,00,False
2014-08-01T14:15:00-0600,159.26,31.1,08,01,4,False,14,15,False
2014-08-01T14:30:00-0600,159.94,31.27,08,01,4,False,14,30,False
2014-08-01T14:45:00-0600,165.76,31.43,08,01,4,False,14,45,False
2014-08-01T15:00:00-0600,169.69,31.6,08,01,4,False,15,00,False
2014-08-01T15:15:00-0600,174.14,31.61,08,01,4,False,15,15,False
2014-08-01T15:30:00-0600,174.99,31.63,08,01,4,False,15,30,False
2014-08-01T15:45:00-0600,192.2,31.64,08,01,4,False,15,45,False
2014-08-01T16:00:00-0600,195.46,31.66,08,01,4,False,16,00,False
2014-08-01T16:15:00-0600,199.32,31.58,08,01,4,False,16,15,False
2014-08-01T16:30:00-0600,207.42,31.51,08,01,4,False,16,30,False
2014-08-01T16:45:00-0600,215.53,31.44,08,01,4,False,16,45,False
2014-08-01T17:00:00-0600,224.74,31.37,08,01,4,False,17,00,False
2014-08-01T17:15:00-0600,227.81,31.23,08,01,4,False,17,15,False
2014-08-01T17:30:00-0600,221.78,31.09,08,01,4,False,17,30,False
2014-08-01T17:45:00-0600,226.76,30.95,08,01,4,False,17,45,False
2014-08-01T18:00:00-0600,224.93,30.81,08,01,4,False,18,00,False
2014-08-01T18:15:00-0600,221.69,30.45,08,01,4,False,18,15,False
2014-08-01T18:30:00-0600,219.61,30.09,08,01,4,False,18,30,False
2014-08-01T18:45:00-0600,216.66,29.73,08,01,4,False,18,45,False
2014-08-01T19:00:00-0600,214.77,29.38,08,01,4,False,19,00,False
2014-08-01T19:15:00-0600,213.58,29.02,08,01,4,False,19,15,False
2014-08-01T19:30:00-0600,214.95,28.67,08,01,4,False,19,30,False
2014-08-01T19:45:00-0600,210.79,28.32,08,01,4,False,19,45,False
2014-08-01T20:00:00-0600,199.86,27.97,08,01,4,False,20,00,False
2014-08-01T20:15:00-0600,201.38,27.63,08,01,4,False,20,15,False
2014-08-01T20:30:00-0600,205.99,27.3,08,01,4,False,20,30,False
2014-08-01T20:45:00-0600,197.91,26.96,08,01,4,False,20,45,False
2014-08-01T21:00:00-0600,208.49,26.63,08,01,4,False,21,00,False
2014-08-01T21:15:00-0600,197.34,26.33,08,01,4,False,21,15,False
2014-08-01T21:30:00-0600,194.77,26.03,08,01,4,False,21,30,False
2014-08-01T21:45:00-0600,191.59,25.73,08,01,4,False,21,45,False
2014-08-01T22:00:00-0600,187.8,25.44,08,01,4,False,22,00,False
2014-08-01T22:15:00-0600,184.16,25.17,08,01,4,False,22,15,False
2014-08-01T22:30:00-0600,174.29,24.91,08,01,4,False,22,30,False
2014-08-01T22:45:00-0600,167.57,24.64,08,01,4,False,22,45,False
2014-08-01T23:00:00-0600,156.55,24.38,08,01,4,False,23,00,False
2014-08-01T23:15:00-0600,155.84,24.2,08,01,4,False,23,15,False
2014-08-01T23:30:00-0600,143.24,24.03,08,01,4,False,23,30,False
2014-08-01T23:45:00-0600,136.28,23.85,08,01,4,False,23,45,False
2014-08-02T00:00:00-0600,123.41,23.68,08,02,5,True,00,00,False
2014-08-02T00:15:00-0600,122.89,23.5,08,02,5,True,00,15,False
2014-08-02T00:30:00-0600,119.62,23.32,08,02,5,True,00,30,False
2014-08-02T00:45:00-0600,113.91,23.14,08,02,5,True,00,45,False
2014-08-02T01:00:00-0600,113.56,22.97,08,02,5,True,01,00,False
2014-08-02T01:15:00-0600,105.12,22.8,08,02,5,True,01,15,False
2014-08-02T01:30:00-0600,103.06,22.63,08,02,5,True,01,30,False
2014-08-02T01:45:00-0600,97.6,22.46,08,02,5,True,01,45,False
2014-08-02T02:00:00-0600,96.36,22.29,08,02,5,True,02,00,False
2014-08-02T02:15:00-0600,95.87,22.02,08,02,5,True,02,15,False
2014-08-02T02:30:00-0600,92,21.75,08,02,5,True,02,30,False
2014-08-02T02:45:00-0600,85.92,21.48,08,02,5,True,02,45,False
2014-08-02T03:00:00-0600,90.12,21.22,08,02,5,True,03,00,False
2014-08-02T03:15:00-0600,87.22,21.09,08,02,5,True,03,15,False
2014-08-02T03:30:00-0600,85.15,20.96,08,02,5,True,03,30,False
2014-08-02T03:45:00-0600,86.55,20.83,08,02,5,True,03,45,False
2014-08-02T04:00:00-0600,84.79,20.71,08,02,5,True,04,00,False
2014-08-02T04:15:00-0600,86.1,20.67,08,02,5,True,04,15,False
2014-08-02T04:30:00-0600,80.04,20.64,08,02,5,True,04,30,False
2014-08-02T04:45:00-0600,78.62,20.61,08,02,5,True,04,45,False
2014-08-02T05:00:00-0600,76.65,20.58,08,02,5,True,05,00,False
2014-08-02T05:15:00-0600,76.25,20.35,08,02,5,True,05,15,False
2014-08-02T05:30:00-0600,73.8,20.12,08,02,5,True,05,30,False
2014-08-02T05:45:00-0600,78.49,19.89,08,02,5,True,05,45,False
2014-08-02T06:00:00-0600,73.49,19.66,08,02,5,True,06,00,False
2014-08-02T06:15:00-0600,71.69,19.83,08,02,5,True,06,15,False
2014-08-02T06:30:00-0600,70.76,20,08,02,5,True,06,30,False
2014-08-02T06:45:00-0600,67.94,20.17,08,02,5,True,06,45,False
2014-08-02T07:00:00-0600,69,20.35,08,02,5,True,07,00,False
2014-08-02T07:15:00-0600,72.25,20.76,08,02,5,True,07,15,False
2014-08-02T07:30:00-0600,80.42,21.18,08,02,5,True,07,30,False
2014-08-02T07:45:00-0600,82.65,21.6,08,02,5,True,07,45,False
2014-08-02T08:00:00-0600,85.44,22.02,08,02,5,True,08,00,False
2014-08-02T08:15:00-0600,87.75,22.54,08,02,5,True,08,15,False
2014-08-02T08:30:00-0600,91.64,23.06,08,02,5,True,08,30,False
2014-08-02T08:45:00-0600,94.28,23.58,08,02,5,True,08,45,False
2014-08-02T09:00:00-0600,97.39,24.11,08,02,5,True,09,00,False
2014-08-02T09:15:00-0600,100.44,24.38,08,02,5,True,09,15,False
2014-08-02T09:30:00-0600,98.54,24.65,08,02,5,True,09,30,False
2014-08-02T09:45:00-0600,104.85,24.92,08,02,5,True,09,45,False
2014-08-02T10:00:00-0600,109.98,25.19,08,02,5,True,10,00,False
2014-08-02T10:15:00-0600,113.91,25.37,08,02,5,True,10,15,False
2014-08-02T10:30:00-0600,119.97,25.56,08,02,5,True,10,30,False
2014-08-02T10:45:00-0600,119.83,25.75,08,02,5,True,10,45,False
2014-08-02T11:00:00-0600,120.65,25.94,08,02,5,True,11,00,False
2014-08-02T11:15:00-0600,127.04,26.29,08,02,5,True,11,15,False
2014-08-02T11:30:00-0600,128.77,26.65,08,02,5,True,11,30,False
2014-08-02T11:45:00-0600,129.47,27,08,02,5,True,11,45,False
2014-08-02T12:00:00-0600,131.43,27.36,08,02,5,True,12,00,False
2014-08-02T12:15:00-0600,135.55,27.54,08,02,5,True,12,15,False
