@relation "Aggregate over 100 dataids, 6 months" 
@attribute local_time DATE "yyyy-MM-dd'T'HH:mm:ssZ"
@attribute active_power NUMERIC
@attribute temperature NUMERIC
@attribute monthOfYear {'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12'}
@attribute dayOfMonth {'00', '01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24','25', '26', '27', '28', '29', '30', '31'}
@attribute dayOfWeek {'0', '1', '2', '3', '4', '5', '6'}
@attribute Weekend {'True', 'False'}
@attribute hourOfDay {'00', '01', '02', '03', '04', '05', '06','07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@attribute quarterOfHour {'00', '15', '30', '45'}
@attribute Holiday {'True', 'False'}
@data
2015-02-01T00:00:00-0600,71.69,15.78,02,01,6,True,00,00,False
2015-02-01T00:15:00-0600,63.37,15.74,02,01,6,True,00,15,False
2015-02-01T00:30:00-0600,58.16,15.7,02,01,6,True,00,30,False
2015-02-01T00:45:00-0600,53.1,15.66,02,01,6,True,00,45,False
2015-02-01T01:00:00-0600,51.12,15.62,02,01,6,True,01,00,False
2015-02-01T01:15:00-0600,51.16,15.57,02,01,6,True,01,15,False
2015-02-01T01:30:00-0600,50.35,15.52,02,01,6,True,01,30,False
2015-02-01T01:45:00-0600,45.26,15.47,02,01,6,True,01,45,False
2015-02-01T02:00:00-0600,56.55,15.43,02,01,6,True,02,00,False
2015-02-01T02:15:00-0600,55.41,15.33,02,01,6,True,02,15,False
2015-02-01T02:30:00-0600,47.23,15.24,02,01,6,True,02,30,False
2015-02-01T02:45:00-0600,45.06,15.14,02,01,6,True,02,45,False
2015-02-01T03:00:00-0600,42.99,15.05,02,01,6,True,03,00,False
2015-02-01T03:15:00-0600,44.5,15.03,02,01,6,True,03,15,False
2015-02-01T03:30:00-0600,47.49,15.01,02,01,6,True,03,30,False
2015-02-01T03:45:00-0600,45.6,14.99,02,01,6,True,03,45,False
